Date,Open,High,Low,Close,Adj Close,Volume
13-11-2020,150,150,145.3500061,146.3500061,145.4464569,32566537
12-11-2020,177.949997,181.449997,176.5,178.850006,178.294312,43065542
11-11-2020,146.5,151.5,145.6499939,150.9499969,150.0180359,78583629
09-11-2020,143.100006,146.800003,141.649994,144.300003,143.851654,65135339
08-11-2020,125,125.800003,121.400002,122.300003,121.920013,50224665
06-11-2020,109.900002,111.150002,105,106.150002,105.82019,55485897
05-11-2020,81.449997,90.650002,81.400002,86.099998,85.832481,152588401
03-11-2020,104.849998,106.5,97.800003,98.900002,98.59272,111146790
02-11-2020,171.8500061,175.1499939,168.3999939,169.75,168.7019806,42868276
30-10-2020,133.199997,134.5,130.300003,132.649994,132.237854,51128530
29-10-2020,132,133,130,131.899994,131.490173,66632704
28-10-2020,139,143.25,133.5,134.800003,134.38118,152359338
27-10-2020,134.149994,136.75,130.850006,135.649994,135.228531,56856159
26-10-2020,138.3999939,140.8000031,131.25,133.6999969,132.8745575,88531579
23-10-2020,134.8999939,138.8999939,134.1000061,137,136.1541748,68711352
22-10-2020,129.699997,134.600006,128.449997,133.5,133.08522,48808592
21-10-2020,131.0500031,133.1000061,128.3000031,130.25,129.4458466,39252663
20-10-2020,128.1000061,130.3000031,126.3499985,129.6499939,128.8495636,27465829
19-10-2020,129.8000031,130.3999939,127.8000031,128.25,127.4581985,33157664
16-10-2020,129.399994,130.050003,126,127.75,127.353081,62553775
15-10-2020,131.5,134.3500061,126.5,126.9499969,126.1662216,64002864
14-10-2020,133.75,134.6499939,128.8000031,130.6999969,129.8930817,45791440
13-10-2020,135.3999939,137.1000061,132.8500061,134.1000061,133.2720795,38973506
12-10-2020,182.6999969,182.6999969,176.3999939,177.6000061,176.5035248,38368777
11-10-2020,144.050003,146.699997,142.75,146,145.546371,68794369
09-10-2020,142.800003,144.5,138,143.300003,142.854767,79606504
08-10-2020,119.9499969,124.6999969,119.6999969,123.8499985,123.0853653,71093810
07-10-2020,106.6999969,108.5999985,105.4000015,107.5999985,106.9356918,64694173
06-10-2020,111,113,108.5,111.400002,111.053879,84038431
02-10-2020,173.199997,173.199997,168,168.899994,168.375214,33279372
01-10-2020,192,199,190,196.3500061,195.1377563,60252338
30-09-2020,131.5500031,134.3999939,130.3000031,133.3000031,132.4770203,48859088
29-09-2020,134.9499969,136,130.6999969,131.6999969,130.8869019,63366932
28-09-2020,128.8999939,134.3000031,127.5,132.8500061,132.0298004,61830817
25-09-2020,123.6999969,128.3500061,123.0999985,127.25,126.4643707,65040759
24-09-2020,127.9000015,128.8000031,122.1500015,122.8000031,122.0418549,62420957
23-09-2020,135.5,136.6999969,127.9000015,131.3999939,130.5887451,74981613
22-09-2020,138,138.1499939,129.6499939,133.1000061,132.2782593,87298020
21-09-2020,147.75,147.75,135.5,137.449997,137.022934,64734493
18-09-2020,148.699997,150.5,146.25,147.899994,147.44046,46270863
17-09-2020,150.8000031,151,146.1999969,147.6499939,146.7384186,48119360
16-09-2020,149.1999969,154.3000031,148.5500031,151.4499969,150.5149689,85056501
15-09-2020,149.3999939,149.3999939,146.5500031,148.3999939,147.4837952,42886817
14-09-2020,147.199997,151.100006,145.5,148.550003,148.088455,84505930
12-09-2020,183,186.399994,181.649994,182.699997,182.132339,40300535
11-09-2020,140.6000061,141.5,138.6999969,141,140.1294708,40277460
10-09-2020,141.1499939,142.6499939,138,138.4499969,137.5952301,37097190
09-09-2020,141,141.75,135.6999969,140.1000061,139.2350464,105355010
07-09-2020,106.3000031,108.9499969,104.6500015,106.9499969,106.2896957,54492650
06-09-2020,117.4499969,117.9000015,110.25,111.4499969,110.7619171,79473751
04-09-2020,69.59999847,76.25,69.09999847,74.59999847,74.13942719,112677273
03-09-2020,109,109.8499985,104.25,105.6999969,105.0474243,81549809
01-09-2020,184.8500061,192.75,184.25,192,190.814621,40803142
31-08-2020,144.5,147.949997,138.199997,143.199997,142.755066,160564488
28-08-2020,144.149994,146.199997,140.5,142.800003,142.356323,95194825
27-08-2020,140.100006,146.850006,139.300003,144.25,143.801819,181380747
26-08-2020,130.5,139,128.3500061,137.8999939,137.0486145,197510376
25-08-2020,121.800003,128.350006,121.099998,127.099998,126.705101,90263366
24-08-2020,122,123,120.8000031,121.1999969,120.4517212,31294253
21-08-2020,124.199997,124.199997,120.150002,120.900002,120.524361,48650204
20-08-2020,123.449997,125.650002,121.099998,121.699997,121.321877,43530882
19-08-2020,127,127.5999985,124.75,125.1500015,124.3773422,45128613
18-08-2020,124,127.5,123.599998,125.599998,125.209755,62153763
17-08-2020,124.5,126.25,120.599998,123.550003,123.16613,61154250
14-08-2020,131.149994,132.649994,123.699997,124.599998,124.212868,75032834
13-08-2020,126.099998,131.899994,124.400002,131.149994,130.742508,95489249
12-08-2020,184.9499969,185.6999969,178.9499969,181.8000031,180.677597,42143391
10-08-2020,142.850006,143.5,139.600006,140.949997,140.51207,40900948
